iter	MultiClass
0	1.278529453
1	1.188128495
2	1.081951732
3	1.021368626
4	0.967942309
5	0.9168898505
6	0.8571542764
7	0.7984155568
8	0.7530845511
9	0.6949596597
10	0.6595234707
11	0.6249034902
12	0.5977225361
13	0.551303676
14	0.512700916
15	0.4895910403
16	0.4672197503
17	0.4356556874
18	0.4153642931
19	0.3969786785
20	0.3764816211
21	0.3683471839
22	0.352327149
23	0.3371703974
24	0.3222093594
25	0.3115729961
26	0.3024797875
27	0.2940228066
28	0.2857775324
29	0.2758042842
30	0.2611268205
31	0.2486477948
32	0.2378091494
33	0.2312647815
34	0.2214375361
35	0.2143884199
36	0.2047072076
37	0.1960242526
38	0.186995737
39	0.1811766974
40	0.1753504167
41	0.1696078119
42	0.1642168134
43	0.1579167081
44	0.1506878577
45	0.1465313435
46	0.1419988768
47	0.1383069811
48	0.1301774012
49	0.1274245928
50	0.1245564849
51	0.1199684517
52	0.1161496216
53	0.1113325287
54	0.1085849981
55	0.1043055165
56	0.1020622325
57	0.09914297714
58	0.09581925406
59	0.09339942414
60	0.09173224926
61	0.08924184201
62	0.08675766642
63	0.08272755481
64	0.08096776974
65	0.07974878657
66	0.07829334888
67	0.07648739878
68	0.07474820654
69	0.07299981956
70	0.07134417573
71	0.06989959537
72	0.06683821068
73	0.06588485756
74	0.0644265712
75	0.06251501702
76	0.06127720216
77	0.05994125805
78	0.05892869564
79	0.05745167631
80	0.05635426137
81	0.0542332904
82	0.05355077108
83	0.05253065024
84	0.05084126362
85	0.04949035017
86	0.04868006165
87	0.04710080921
88	0.04548555207
89	0.04468589201
90	0.04364386272
91	0.04216282205
92	0.04153626826
93	0.0408987191
94	0.04031323126
95	0.03973069387
96	0.03933278317
97	0.03871643398
98	0.03818476838
99	0.03782512059
100	0.03669445463
101	0.03621211397
102	0.03532297453
103	0.03483618885
104	0.03423945041
105	0.03390879004
106	0.03345608653
107	0.03311691998
108	0.03285868236
109	0.03230145557
110	0.03188583358
111	0.03132098304
112	0.03076384914
113	0.03050325934
114	0.03014193657
115	0.02963154267
116	0.02912756096
117	0.02842365028
118	0.02807393303
119	0.02775308214
120	0.02749914758
121	0.02706526552
122	0.02679358921
123	0.02650233781
124	0.02628309464
125	0.02586178604
126	0.02566139009
127	0.02546684448
128	0.02525708415
129	0.02508088525
130	0.02472717384
131	0.02445444886
132	0.02412782208
133	0.02376344415
134	0.02353318983
135	0.02330803077
136	0.02298237183
137	0.02272765611
138	0.02257885611
139	0.02231378024
140	0.02214517811
141	0.022000648
142	0.02175862365
143	0.02158183614
144	0.02139524956
145	0.02121469549
146	0.0210819162
147	0.02087413976
148	0.02072161488
149	0.0205397539
150	0.02028699004
151	0.02011212228
152	0.01991985246
153	0.01972118289
154	0.01951883374
155	0.01936640495
156	0.01921250582
157	0.0188753354
158	0.01876203994
159	0.01857451227
160	0.01844322362
161	0.01833634021
162	0.01821254552
163	0.01802736626
164	0.017933072
165	0.0177493345
166	0.01761679931
167	0.01740368775
168	0.0173023778
169	0.01702419062
170	0.01687296587
171	0.01677986071
172	0.01670332316
173	0.01657110048
174	0.01648856393
175	0.01630164931
176	0.01619550813
177	0.01611878872
178	0.01603509093
179	0.01591207027
180	0.01584702902
181	0.01574408073
182	0.0156461023
183	0.01553685602
184	0.01547035198
185	0.01532248816
186	0.01517897758
187	0.01502237131
188	0.01492486875
189	0.01484984559
190	0.01472477507
191	0.01462533886
192	0.0145269995
193	0.01431390899
194	0.01411682307
195	0.01403274935
196	0.01397190886
197	0.01391307107
198	0.01380296108
199	0.01373912527
200	0.01366705662
201	0.01360096462
202	0.01351323252
203	0.01342631039
204	0.01334368338
205	0.01322896718
206	0.01316815973
207	0.01309815573
208	0.01295503891
209	0.01285333381
210	0.01281124046
211	0.01274861181
212	0.01267967723
213	0.01262591357
214	0.01258315473
215	0.01251732126
216	0.01247660502
217	0.01240080393
218	0.01229923708
219	0.01217434152
220	0.01206981905
221	0.0119905069
222	0.01192691336
223	0.01184825279
224	0.01180481282
225	0.01170790956
226	0.01161778177
227	0.01154365008
228	0.0114854261
229	0.01142306468
230	0.01136847894
231	0.01131457874
232	0.01124815508
233	0.01121340276
234	0.01117509265
235	0.01111838047
236	0.01105732587
237	0.01100834515
238	0.01095615534
239	0.01090273454
240	0.01086389923
241	0.01079161126
242	0.01071765111
243	0.01067842597
244	0.01063388632
245	0.01059694088
246	0.01052333033
247	0.01048819101
248	0.01044825959
249	0.01037355799
250	0.01033682738
251	0.01026887853
252	0.01022603137
253	0.01014973968
254	0.01010871503
255	0.01007486615
256	0.01002289861
257	0.009983902371
258	0.009943118875
259	0.009876417737
260	0.009828200023
261	0.009782816702
262	0.009742250373
263	0.009677784914
264	0.009635713265
265	0.00959501805
266	0.009563417243
267	0.009510609379
268	0.00947869294
269	0.009403010021
270	0.00935942925
271	0.009306631512
272	0.009243573976
273	0.009214550462
274	0.00918565241
275	0.009135860646
276	0.009098669916
277	0.009070565023
278	0.009048854644
279	0.008997644576
280	0.008947595035
281	0.008916197286
282	0.008882401425
283	0.008829823059
284	0.008805275002
285	0.008770745668
286	0.008746799726
287	0.008725164382
288	0.00869313273
289	0.008667214334
290	0.008643133857
291	0.00859631535
292	0.008566855253
293	0.008534398384
294	0.008492669572
295	0.008464271109
296	0.008419352721
297	0.008391211513
298	0.008366980041
299	0.00831943513
300	0.008243757165
301	0.008224242955
302	0.008200078757
303	0.008176085659
304	0.008133141557
305	0.008092907405
306	0.00805313376
307	0.008006277836
308	0.007950027909
309	0.00791536987
310	0.00789131934
311	0.007872070487
312	0.007837545154
313	0.007794942969
314	0.007778830125
315	0.007728000624
316	0.007704971097
317	0.007682000988
318	0.007654936118
319	0.007631578611
320	0.007608803572
321	0.007584310731
322	0.007554993032
323	0.007535159021
324	0.007500492598
325	0.007474208556
326	0.007452740104
327	0.007412323262
328	0.007387715946
329	0.007356586955
330	0.007326523625
331	0.007307483596
332	0.007286127389
333	0.007266225018
334	0.007223570011
335	0.007208927426
336	0.007186401788
337	0.007152511409
338	0.007138418487
339	0.007109307213
340	0.007058523914
341	0.007041379797
342	0.007024552335
343	0.006997021023
344	0.00695820609
345	0.006933109836
346	0.006900875155
347	0.006874275941
348	0.006859887789
349	0.006840453665
350	0.006825072975
351	0.006799212086
352	0.006783384086
353	0.006752067474
354	0.006729833044
355	0.006714328002
356	0.006696293968
357	0.006679911608
358	0.006662648457
359	0.00661793379
360	0.00658932108
361	0.006559693007
362	0.006537582685
363	0.006523231933
364	0.00649221812
365	0.006474381193
366	0.006459951087
367	0.006447265827
368	0.006417403436
369	0.006398794755
370	0.006351291082
371	0.006322992005
372	0.006297988884
373	0.006274320358
374	0.006249546898
375	0.006235479339
376	0.006219829644
377	0.006203199416
378	0.006188658675
379	0.006171865594
380	0.006152908406
381	0.006138048885
382	0.006123893218
383	0.006110480472
384	0.006095149189
385	0.006080461922
386	0.006069165527
387	0.006057118747
388	0.006042559421
389	0.006027429032
390	0.006005136145
391	0.005982454204
392	0.005966159626
393	0.005937577991
394	0.005925206014
395	0.005904368624
396	0.005888924966
397	0.005868396463
398	0.005857827507
399	0.005840000123
400	0.00582647022
401	0.005816497206
402	0.005793962948
403	0.005776250467
404	0.005755451741
405	0.005742591374
406	0.005719740578
407	0.005708218739
408	0.005692033391
409	0.005672259643
410	0.005648643229
411	0.005635212603
412	0.005623409123
413	0.005601153539
414	0.005590968074
415	0.005580365646
416	0.005570833462
417	0.005555566303
418	0.005539595579
419	0.005510275781
420	0.005500009711
421	0.005484362537
422	0.005459964994
423	0.005443795756
424	0.005432630258
425	0.005398849596
426	0.005380097001
427	0.005369695489
428	0.00535371483
429	0.005341874462
430	0.005323614984
431	0.005307887791
432	0.0052947954
433	0.005282308906
434	0.00526511919
435	0.005257849317
436	0.005238737972
437	0.005219669632
438	0.005201996508
439	0.005181672799
440	0.005172560079
441	0.005160416866
442	0.005149051686
443	0.005129541359
444	0.005112526223
445	0.005099292914
446	0.005090374848
447	0.005078983282
448	0.005066918231
449	0.005052682459
450	0.005044542839
451	0.005034411365
452	0.005025723967
453	0.005015299449
454	0.005008688422
455	0.004997903633
456	0.004986128273
457	0.004977033168
458	0.004967771703
