iter	Passed	Remaining
0	2	2422
1	4	2006
2	5	1937
3	7	1855
4	9	1809
5	10	1763
6	12	1721
7	13	1671
8	14	1635
9	16	1627
10	18	1634
11	19	1640
12	21	1626
13	22	1606
14	24	1587
15	25	1576
16	27	1568
17	28	1556
18	30	1551
19	31	1554
20	33	1546
21	34	1543
22	36	1538
23	37	1533
24	39	1527
25	40	1523
26	42	1519
27	43	1513
28	45	1512
29	47	1524
30	48	1522
31	50	1517
32	51	1509
33	52	1504
34	54	1498
35	55	1495
36	57	1491
37	58	1487
38	60	1484
39	61	1485
40	63	1481
41	64	1480
42	66	1478
43	67	1475
44	69	1473
45	70	1470
46	72	1467
47	73	1466
48	75	1463
49	76	1461
50	78	1459
51	79	1457
52	81	1454
53	82	1453
54	84	1452
55	86	1451
56	87	1452
57	89	1457
58	91	1463
59	93	1463
60	95	1466
61	96	1466
62	98	1469
63	99	1461
64	101	1462
65	103	1468
66	105	1471
67	107	1478
68	110	1485
69	111	1482
70	113	1478
71	114	1477
72	116	1477
73	117	1475
74	119	1472
75	120	1470
76	122	1467
77	124	1466
78	125	1464
79	127	1462
80	128	1461
81	130	1458
82	132	1461
83	133	1459
84	135	1455
85	136	1452
86	138	1449
87	139	1446
88	141	1443
89	142	1440
90	143	1437
91	145	1434
92	146	1431
93	148	1428
94	149	1425
95	151	1422
96	152	1419
97	154	1417
98	155	1415
99	156	1412
100	158	1409
101	160	1413
102	162	1414
103	164	1415
104	165	1413
105	167	1412
106	169	1411
107	170	1410
108	172	1407
109	173	1406
110	175	1405
111	177	1403
112	178	1401
113	180	1399
114	181	1397
115	183	1395
116	185	1397
117	186	1395
118	188	1394
119	189	1392
120	191	1390
121	192	1387
122	194	1386
123	196	1385
124	197	1384
125	199	1382
126	201	1383
127	203	1383
128	204	1383
129	206	1382
130	208	1380
131	209	1379
132	211	1378
133	213	1378
134	214	1377
135	216	1375
136	218	1375
137	220	1375
138	222	1375
139	223	1374
140	225	1373
141	227	1371
142	228	1369
143	230	1368
144	231	1366
145	233	1365
146	234	1363
147	236	1361
148	238	1359
149	239	1358
150	241	1356
151	242	1354
152	244	1353
153	246	1352
154	247	1351
155	249	1348
156	250	1346
157	252	1345
158	253	1343
159	255	1341
160	257	1339
161	258	1337
162	260	1335
163	261	1334
164	263	1332
165	264	1330
166	266	1328
167	268	1327
168	269	1325
169	271	1323
170	272	1321
171	274	1320
172	275	1318
173	277	1316
174	278	1314
175	280	1313
176	282	1311
177	283	1310
178	285	1308
179	286	1305
180	288	1304
181	289	1301
182	291	1299
183	292	1298
184	294	1296
185	295	1294
186	297	1292
187	298	1290
188	300	1288
189	301	1286
190	303	1285
191	305	1286
192	308	1288
193	309	1286
194	311	1285
195	312	1283
196	314	1281
197	315	1279
198	317	1277
199	319	1276
200	320	1274
201	322	1274
202	324	1272
203	325	1270
204	327	1268
205	328	1266
206	330	1265
207	331	1263
208	333	1261
209	334	1260
210	336	1258
211	338	1256
212	339	1254
213	340	1252
214	342	1250
215	344	1248
216	345	1246
217	346	1244
218	348	1242
219	349	1240
220	351	1238
221	352	1236
222	354	1234
223	355	1233
224	357	1231
225	358	1229
226	360	1227
227	362	1226
228	363	1224
229	365	1222
230	366	1220
231	368	1218
232	369	1216
233	371	1215
234	372	1213
235	374	1211
236	375	1209
237	377	1207
238	378	1206
239	380	1204
240	381	1202
241	383	1200
242	384	1198
243	386	1196
244	387	1194
